x,y,z,hit,v_type,distance_km,latitude,longitude,hit_step
0.61285,-0.21384,-0.50000,0.41644,0,16.75000,42.83141,13.11750,0
0.37772,-0.12887,-0.50000,0.43068,0,17.00000,42.83217,13.12038,0
0.14260,-0.04391,-0.50000,0.44412,0,17.25000,42.83294,13.12326,0
-0.09253,0.04103,-0.50000,0.45669,0,17.50000,42.83370,13.12613,0
-0.32765,0.12597,-0.50000,0.46846,0,17.75000,42.83447,13.12901,0
-0.56278,0.21091,-0.50000,0.47956,0,18.00000,42.83523,13.13188,0
-0.79790,0.29583,-0.50000,0.49015,0,18.25000,42.83600,13.13476,0
-1.03303,0.38075,-0.50000,0.50036,0,18.50000,42.83676,13.13764,0
-1.26816,0.46566,-0.50000,0.51029,0,18.75000,42.83752,13.14051,0
-1.50328,0.55056,-0.50000,0.52003,0,19.00000,42.83829,13.14339,0
-1.73841,0.63545,-0.50000,0.52965,0,19.25000,42.83905,13.14626,0
-1.97353,0.72033,-0.50000,0.53919,0,19.50000,42.83982,13.14914,0
-2.20866,0.80521,-0.50000,0.54866,0,19.75000,42.84058,13.15202,0
-2.44378,0.89008,-0.50000,0.55808,0,20.00000,42.84135,13.15489,0
-2.67891,0.97494,-0.50000,0.56741,0,20.25000,42.84211,13.15777,0
-2.91403,1.05979,-0.50000,0.57659,0,20.50000,42.84287,13.16065,0
-3.14916,1.14463,-0.50000,0.58556,0,20.75000,42.84364,13.16352,0
-3.38428,1.22947,-0.50000,0.59412,0,21.00000,42.84440,13.16640,0
-3.61941,1.31430,-0.50000,0.60201,0,21.25000,42.84516,13.16928,0
-3.85453,1.39912,-0.50000,0.60898,0,21.50000,42.84593,13.17215,0
-4.08966,1.48393,-0.50000,0.61477,0,21.75000,42.84669,13.17503,0
-4.32478,1.56873,-0.50000,0.61910,0,22.00000,42.84745,13.17791,0
-4.55991,1.65353,-0.50000,0.62174,0,22.25000,42.84822,13.18078,0
-4.79504,1.73832,-0.50000,0.62242,0,22.50000,42.84898,13.18366,0
-5.03016,1.82310,-0.50000,0.62089,0,22.75000,42.84974,13.18654,0
-5.26529,1.90787,-0.50000,0.61691,0,23.00000,42.85051,13.18942,0
-5.50041,1.99263,-0.50000,0.61024,0,23.25000,42.85127,13.19229,0
-5.73554,2.07739,-0.50000,0.60063,0,23.50000,42.85203,13.19517,0
-5.97066,2.16214,-0.50000,0.58789,0,23.75000,42.85280,13.19805,0
