x,y,z,v,v_type,distance_km,latitude,longitude
-10.90830,3.93998,-1.00000,4.41532,0,29.00000,42.86880,13.25849
-11.14342,4.02455,-1.00000,4.41842,0,29.25000,42.86956,13.26137
-11.37855,4.10911,-1.00000,4.42316,0,29.50000,42.87032,13.26425
-11.61367,4.19367,-1.00000,4.42916,0,29.75000,42.87108,13.26713
-11.84880,4.27822,-1.00000,4.43613,0,30.00000,42.87184,13.27001
16.36625,-5.92471,-0.75000,4.70765,0,0.00000,42.78000,12.92500
16.13113,-5.83921,-0.75000,4.71156,0,0.25000,42.78077,12.92787
15.89600,-5.75371,-0.75000,4.71565,0,0.50000,42.78154,12.93074
15.66087,-5.66823,-0.75000,4.71978,0,0.75000,42.78231,12.93361
15.42575,-5.58275,-0.75000,4.72383,0,1.00000,42.78308,12.93648
15.19062,-5.49728,-0.75000,4.72763,0,1.25000,42.78385,12.93936
14.95550,-5.41182,-0.75000,4.73107,0,1.50000,42.78462,12.94223
14.72037,-5.32637,-0.75000,4.73405,0,1.75000,42.78539,12.94510
14.48525,-5.24092,-0.75000,4.73670,0,2.00000,42.78616,12.94797
14.25012,-5.15549,-0.75000,4.73914,0,2.25000,42.78692,12.95084
14.01500,-5.07006,-0.75000,4.74150,0,2.50000,42.78769,12.95371
13.77987,-4.98464,-0.75000,4.74389,0,2.75000,42.78846,12.95658
13.54474,-4.89922,-0.75000,4.74642,0,3.00000,42.78923,12.95946
13.30962,-4.81382,-0.75000,4.74918,0,3.25000,42.79000,12.96233
13.07449,-4.72842,-0.75000,4.75226,0,3.50000,42.79077,12.96520
12.83937,-4.64303,-0.75000,4.75574,0,3.75000,42.79154,12.96807
12.60424,-4.55765,-0.75000,4.75968,0,4.00000,42.79231,12.97094
12.36912,-4.47228,-0.75000,4.76413,0,4.25000,42.79307,12.97381
12.13399,-4.38691,-0.75000,4.76915,0,4.50000,42.79384,12.97669
11.89887,-4.30156,-0.75000,4.77477,0,4.75000,42.79461,12.97956
11.66374,-4.21621,-0.75000,4.78086,0,5.00000,42.79538,12.98243
11.42861,-4.13087,-0.75000,4.78714,0,5.25000,42.79615,12.98530
11.19349,-4.04553,-0.75000,4.79338,0,5.50000,42.79692,12.98818
10.95836,-3.96021,-0.75000,4.79931,0,5.75000,42.79768,12.99105
10.72324,-3.87489,-0.75000,4.80474,0,6.00000,42.79845,12.99392
10.48811,-3.78958,-0.75000,4.80947,0,6.25000,42.79922,12.99679
10.25299,-3.70428,-0.75000,4.81333,0,6.50000,42.79999,12.99967
10.01786,-3.61899,-0.75000,4.81619,0,6.75000,42.80076,13.00254
9.78274,-3.53370,-0.75000,4.81793,0,7.00000,42.80152,13.00541
9.54761,-3.44843,-0.75000,4.81846,0,7.25000,42.80229,13.00828
9.31249,-3.36316,-0.75000,4.81772,0,7.50000,42.80306,13.01116
9.07736,-3.27790,-0.75000,4.81565,0,7.75000,42.80383,13.01403
8.84223,-3.19264,-0.75000,4.81228,0,8.00000,42.80459,13.01690
8.60711,-3.10740,-0.75000,4.80803,0,8.25000,42.80536,13.01978
8.37198,-3.02216,-0.75000,4.80355,0,8.50000,42.80613,13.02265
8.13686,-2.93693,-0.75000,4.79953,0,8.75000,42.80690,13.02552
7.90173,-2.85171,-0.75000,4.79666,0,9.00000,42.80766,13.02840
7.66661,-2.76650,-0.75000,4.79560,0,9.25000,42.80843,13.03127
7.43148,-2.68129,-0.75000,4.79703,0,9.50000,42.80920,13.03414
7.19636,-2.59610,-0.75000,4.80164,0,9.75000,42.80996,13.03702
6.96123,-2.51091,-0.75000,4.81007,0,10.00000,42.81073,13.03989
6.72611,-2.42573,-0.75000,4.82299,0,10.25000,42.81150,13.04276
6.49098,-2.34055,-0.75000,4.84103,0,10.50000,42.81226,13.04564
6.25586,-2.25539,-0.75000,4.86481,0,10.75000,42.81303,13.04851
6.02073,-2.17023,-0.75000,4.89494,0,11.00000,42.81380,13.05139
5.78560,-2.08508,-0.75000,4.93179,0,11.25000,42.81456,13.05426
5.55048,-1.99994,-0.75000,4.97460,0,11.50000,42.81533,13.05713
5.31535,-1.91481,-0.75000,5.02220,0,11.75000,42.81610,13.06001
5.08023,-1.82968,-0.75000,5.07337,0,12.00000,42.81686,13.06288
4.84510,-1.74457,-0.75000,5.12682,0,12.25000,42.81763,13.06576
4.60998,-1.65946,-0.75000,5.18123,0,12.50000,42.81839,13.06863
4.37485,-1.57436,-0.75000,5.23524,0,12.75000,42.81916,13.07150
4.13973,-1.48926,-0.75000,5.28746,0,13.00000,42.81993,13.07438
3.90460,-1.40418,-0.75000,5.33647,0,13.25000,42.82069,13.07725
3.66948,-1.31910,-0.75000,5.38081,0,13.50000,42.82146,13.08013
3.43435,-1.23403,-0.75000,5.41906,0,13.75000,42.82222,13.08300
3.19923,-1.14897,-0.75000,5.44974,0,14.00000,42.82299,13.08588
2.96410,-1.06392,-0.75000,5.47140,0,14.25000,42.82376,13.08875
2.72897,-0.97888,-0.75000,5.48316,0,14.50000,42.82452,13.09163
2.49385,-0.89384,-0.75000,5.48554,0,14.75000,42.82529,13.09450
2.25872,-0.80881,-0.75000,5.47939,0,15.00000,42.82605,13.09738
2.02360,-0.72379,-0.75000,5.46560,0,15.25000,42.82682,13.10025
1.78847,-0.63878,-0.75000,5.44517,0,15.50000,42.82758,13.10313
1.55335,-0.55377,-0.75000,5.41914,0,15.75000,42.82835,13.10600
1.31822,-0.46878,-0.75000,5.38864,0,16.00000,42.82911,13.10888
1.08310,-0.38379,-0.75000,5.35482,0,16.25000,42.82988,13.11175
0.84797,-0.29881,-0.75000,5.31892,0,16.50000,42.83064,13.11463
0.61285,-0.21384,-0.75000,5.28220,0,16.75000,42.83141,13.11750
0.37772,-0.12887,-0.75000,5.24597,0,17.00000,42.83217,13.12038
0.14260,-0.04391,-0.75000,5.21156,0,17.25000,42.83294,13.12326
-0.09253,0.04103,-0.75000,5.18034,0,17.50000,42.83370,13.12613
-0.32765,0.12597,-0.75000,5.15319,0,17.75000,42.83447,13.12901
-0.56278,0.21091,-0.75000,5.13030,0,18.00000,42.83523,13.13188
-0.79790,0.29583,-0.75000,5.11176,0,18.25000,42.83600,13.13476
-1.03303,0.38075,-0.75000,5.09760,0,18.50000,42.83676,13.13764
-1.26816,0.46566,-0.75000,5.08778,0,18.75000,42.83752,13.14051
-1.50328,0.55056,-0.75000,5.08218,0,19.00000,42.83829,13.14339
-1.73841,0.63545,-0.75000,5.08065,0,19.25000,42.83905,13.14626
-1.97353,0.72033,-0.75000,5.08295,0,19.50000,42.83982,13.14914
-2.20866,0.80521,-0.75000,5.08878,0,19.75000,42.84058,13.15202
-2.44378,0.89008,-0.75000,5.09779,0,20.00000,42.84135,13.15489
-2.67891,0.97494,-0.75000,5.10957,0,20.25000,42.84211,13.15777
-2.91403,1.05979,-0.75000,5.12364,0,20.50000,42.84287,13.16065
-3.14916,1.14463,-0.75000,5.13947,0,20.75000,42.84364,13.16352
-3.38428,1.22947,-0.75000,5.15627,0,21.00000,42.84440,13.16640
-3.61941,1.31430,-0.75000,5.17314,0,21.25000,42.84516,13.16928
-3.85453,1.39912,-0.75000,5.18915,0,21.50000,42.84593,13.17215
-4.08966,1.48393,-0.75000,5.20344,0,21.75000,42.84669,13.17503
-4.32478,1.56873,-0.75000,5.21515,0,22.00000,42.84745,13.17791
-4.55991,1.65353,-0.75000,5.22347,0,22.25000,42.84822,13.18078
-4.79504,1.73832,-0.75000,5.22764,0,22.50000,42.84898,13.18366
-5.03016,1.82310,-0.75000,5.22698,0,22.75000,42.84974,13.18654
-5.26529,1.90787,-0.75000,5.22083,0,23.00000,42.85051,13.18942
-5.50041,1.99263,-0.75000,5.20865,0,23.25000,42.85127,13.19229
-5.73554,2.07739,-0.75000,5.18998,0,23.50000,42.85203,13.19517
-5.97066,2.16214,-0.75000,5.16451,0,23.75000,42.85280,13.19805
-6.20579,2.24688,-0.75000,5.13221,0,24.00000,42.85356,13.20093
-6.44091,2.33161,-0.75000,5.09407,0,24.25000,42.85432,13.20380
-6.67604,2.41633,-0.75000,5.05138,0,24.50000,42.85508,13.20668
-6.91116,2.50105,-0.75000,5.00541,0,24.75000,42.85585,13.20956
-7.14629,2.58575,-0.75000,4.95736,0,25.00000,42.85661,13.21244
-7.38141,2.67045,-0.75000,4.90835,0,25.25000,42.85737,13.21532
-7.61654,2.75514,-0.75000,4.85945,0,25.50000,42.85813,13.21819
-7.85167,2.83983,-0.75000,4.81161,0,25.75000,42.85890,13.22107
-8.08679,2.92450,-0.75000,4.76570,0,26.00000,42.85966,13.22395
-8.32192,3.00917,-0.75000,4.72247,0,26.25000,42.86042,13.22683
-8.55704,3.09383,-0.75000,4.68256,0,26.50000,42.86118,13.22971
-8.79217,3.17848,-0.75000,4.64651,0,26.75000,42.86194,13.23258
-9.02729,3.26312,-0.75000,4.61473,0,27.00000,42.86271,13.23546
-9.26242,3.34776,-0.75000,4.58734,0,27.25000,42.86347,13.23834
-9.49754,3.43239,-0.75000,4.56392,0,27.50000,42.86423,13.24122
-9.73267,3.51701,-0.75000,4.54402,0,27.75000,42.86499,13.24410
-9.96779,3.60162,-0.75000,4.52724,0,28.00000,42.86575,13.24698
-10.20292,3.68622,-0.75000,4.51322,0,28.25000,42.86652,13.24986
-10.43805,3.77082,-0.75000,4.50168,0,28.50000,42.86728,13.25274
-10.67317,3.85540,-0.75000,4.49238,0,28.75000,42.86804,13.25561
-10.90830,3.93998,-0.75000,4.48515,0,29.00000,42.86880,13.25849
-11.14342,4.02455,-0.75000,4.47988,0,29.25000,42.86956,13.26137
-11.37855,4.10911,-0.75000,4.47649,0,29.50000,42.87032,13.26425
-11.61367,4.19367,-0.75000,4.47498,0,29.75000,42.87108,13.26713
-11.84880,4.27822,-0.75000,4.47540,0,30.00000,42.87184,13.27001
16.36625,-5.92471,-0.50000,4.75801,0,0.00000,42.78000,12.92500
16.13113,-5.83921,-0.50000,4.76204,0,0.25000,42.78077,12.92787
15.89600,-5.75371,-0.50000,4.76616,0,0.50000,42.78154,12.93074
15.66087,-5.66823,-0.50000,4.77022,0,0.75000,42.78231,12.93361
15.42575,-5.58275,-0.50000,4.77405,0,1.00000,42.78308,12.93648
15.19062,-5.49728,-0.50000,4.77749,0,1.25000,42.78385,12.93936
14.95550,-5.41182,-0.50000,4.78039,0,1.50000,42.78462,12.94223
14.72037,-5.32637,-0.50000,4.78268,0,1.75000,42.78539,12.94510
14.48525,-5.24092,-0.50000,4.78452,0,2.00000,42.78616,12.94797
14.25012,-5.15549,-0.50000,4.78611,0,2.25000,42.78692,12.95084
14.01500,-5.07006,-0.50000,4.78761,0,2.50000,42.78769,12.95371
13.77987,-4.98464,-0.50000,4.78920,0,2.75000,42.78846,12.95658
13.54474,-4.89922,-0.50000,4.79101,0,3.00000,42.78923,12.95946
13.30962,-4.81382,-0.50000,4.79319,0,3.25000,42.79000,12.96233
13.07449,-4.72842,-0.50000,4.79584,0,3.50000,42.79077,12.96520
12.83937,-4.64303,-0.50000,4.79909,0,3.75000,42.79154,12.96807
12.60424,-4.55765,-0.50000,4.80300,0,4.00000,42.79231,12.97094
12.36912,-4.47228,-0.50000,4.80766,0,4.25000,42.79307,12.97381
12.13399,-4.38691,-0.50000,4.81311,0,4.50000,42.79384,12.97669
11.89887,-4.30156,-0.50000,4.81939,0,4.75000,42.79461,12.97956
11.66374,-4.21621,-0.50000,4.82633,0,5.00000,42.79538,12.98243
11.42861,-4.13087,-0.50000,4.83359,0,5.25000,42.79615,12.98530
11.19349,-4.04553,-0.50000,4.84082,0,5.50000,42.79692,12.98818
10.95836,-3.96021,-0.50000,4.84769,0,5.75000,42.79768,12.99105
10.72324,-3.87489,-0.50000,4.85392,0,6.00000,42.79845,12.99392
10.48811,-3.78958,-0.50000,4.85924,0,6.25000,42.79922,12.99679
10.25299,-3.70428,-0.50000,4.86342,0,6.50000,42.79999,12.99967
10.01786,-3.61899,-0.50000,4.86626,0,6.75000,42.80076,13.00254
9.78274,-3.53370,-0.50000,4.86757,0,7.00000,42.80152,13.00541
9.54761,-3.44843,-0.50000,4.86721,0,7.25000,42.80229,13.00828
9.31249,-3.36316,-0.50000,4.86507,0,7.50000,42.80306,13.01116
9.07736,-3.27790,-0.50000,4.86104,0,7.75000,42.80383,13.01403
8.84223,-3.19264,-0.50000,4.85512,0,8.00000,42.80459,13.01690
8.60711,-3.10740,-0.50000,4.84775,0,8.25000,42.80536,13.01978
8.37198,-3.02216,-0.50000,4.83972,0,8.50000,42.80613,13.02265
8.13686,-2.93693,-0.50000,4.83180,0,8.75000,42.80690,13.02552
7.90173,-2.85171,-0.50000,4.82478,0,9.00000,42.80766,13.02840
7.66661,-2.76650,-0.50000,4.81944,0,9.25000,42.80843,13.03127
7.43148,-2.68129,-0.50000,4.81658,0,9.50000,42.80920,13.03414
7.19636,-2.59610,-0.50000,4.81697,0,9.75000,42.80996,13.03702
6.96123,-2.51091,-0.50000,4.82140,0,10.00000,42.81073,13.03989
6.72611,-2.42573,-0.50000,4.83062,0,10.25000,42.81150,13.04276
6.49098,-2.34055,-0.50000,4.84539,0,10.50000,42.81226,13.04564
6.25586,-2.25539,-0.50000,4.86645,0,10.75000,42.81303,13.04851
6.02073,-2.17023,-0.50000,4.89452,0,11.00000,42.81380,13.05139
5.78560,-2.08508,-0.50000,4.93006,0,11.25000,42.81456,13.05426
5.55048,-1.99994,-0.50000,4.97230,0,11.50000,42.81533,13.05713
5.31535,-1.91481,-0.50000,5.01999,0,11.75000,42.81610,13.06001
5.08023,-1.82968,-0.50000,5.07183,0,12.00000,42.81686,13.06288
4.84510,-1.74457,-0.50000,5.12646,0,12.25000,42.81763,13.06576
4.60998,-1.65946,-0.50000,5.18248,0,12.50000,42.81839,13.06863
4.37485,-1.57436,-0.50000,5.23842,0,12.75000,42.81916,13.07150
4.13973,-1.48926,-0.50000,5.29280,0,13.00000,42.81993,13.07438
3.90460,-1.40418,-0.50000,5.34409,0,13.25000,42.82069,13.07725
3.66948,-1.31910,-0.50000,5.39075,0,13.50000,42.82146,13.08013
3.43435,-1.23403,-0.50000,5.43122,0,13.75000,42.82222,13.08300
3.19923,-1.14897,-0.50000,5.46394,0,14.00000,42.82299,13.08588
2.96410,-1.06392,-0.50000,5.48735,0,14.25000,42.82376,13.08875
2.72897,-0.97888,-0.50000,5.50047,0,14.50000,42.82452,13.09163
2.49385,-0.89384,-0.50000,5.50384,0,14.75000,42.82529,13.09450
2.25872,-0.80881,-0.50000,5.49833,0,15.00000,42.82605,13.09738
2.02360,-0.72379,-0.50000,5.48485,0,15.25000,42.82682,13.10025
1.78847,-0.63878,-0.50000,5.46441,0,15.50000,42.82758,13.10313
1.55335,-0.55377,-0.50000,5.43808,0,15.75000,42.82835,13.10600
1.31822,-0.46878,-0.50000,5.40696,0,16.00000,42.82911,13.10888
1.08310,-0.38379,-0.50000,5.37224,0,16.25000,42.82988,13.11175
0.84797,-0.29881,-0.50000,5.33512,0,16.50000,42.83064,13.11463
0.61285,-0.21384,-0.50000,5.29686,0,16.75000,42.83141,13.11750
0.37772,-0.12887,-0.50000,5.25876,0,17.00000,42.83217,13.12038
0.14260,-0.04391,-0.50000,5.22212,0,17.25000,42.83294,13.12326
-0.09253,0.04103,-0.50000,5.18827,0,17.50000,42.83370,13.12613
-0.32765,0.12597,-0.50000,5.15809,0,17.75000,42.83447,13.12901
-0.56278,0.21091,-0.50000,5.13179,0,18.00000,42.83523,13.13188
-0.79790,0.29583,-0.50000,5.10951,0,18.25000,42.83600,13.13476
-1.03303,0.38075,-0.50000,5.09134,0,18.50000,42.83676,13.13764
-1.26816,0.46566,-0.50000,5.07731,0,18.75000,42.83752,13.14051
-1.50328,0.55056,-0.50000,5.06743,0,19.00000,42.83829,13.14339
-1.73841,0.63545,-0.50000,5.06163,0,19.25000,42.83905,13.14626
-1.97353,0.72033,-0.50000,5.05981,0,19.50000,42.83982,13.14914
-2.20866,0.80521,-0.50000,5.06180,0,19.75000,42.84058,13.15202
-2.44378,0.89008,-0.50000,5.06741,0,20.00000,42.84135,13.15489
-2.67891,0.97494,-0.50000,5.07637,0,20.25000,42.84211,13.15777
-2.91403,1.05979,-0.50000,5.08839,0,20.50000,42.84287,13.16065
-3.14916,1.14463,-0.50000,5.10311,0,20.75000,42.84364,13.16352
-3.38428,1.22947,-0.50000,5.11981,0,21.00000,42.84440,13.16640
-3.61941,1.31430,-0.50000,5.13758,0,21.25000,42.84516,13.16928
-3.85453,1.39912,-0.50000,5.15548,0,21.50000,42.84593,13.17215
-4.08966,1.48393,-0.50000,5.17262,0,21.75000,42.84669,13.17503
-4.32478,1.56873,-0.50000,5.18809,0,22.00000,42.84745,13.17791
-4.55991,1.65353,-0.50000,5.20105,0,22.25000,42.84822,13.18078
-4.79504,1.73832,-0.50000,5.21068,0,22.50000,42.84898,13.18366
-5.03016,1.82310,-0.50000,5.21621,0,22.75000,42.84974,13.18654
-5.26529,1.90787,-0.50000,5.21695,0,23.00000,42.85051,13.18942
-5.50041,1.99263,-0.50000,5.21227,0,23.25000,42.85127,13.19229
-5.73554,2.07739,-0.50000,5.20163,0,23.50000,42.85203,13.19517
-5.97066,2.16214,-0.50000,5.18464,0,23.75000,42.85280,13.19805
-6.20579,2.24688,-0.50000,5.16121,0,24.00000,42.85356,13.20093
-6.44091,2.33161,-0.50000,5.13218,0,24.25000,42.85432,13.20380
-6.67604,2.41633,-0.50000,5.09875,0,24.50000,42.85508,13.20668
-6.91116,2.50105,-0.50000,5.06203,0,24.75000,42.85585,13.20956
-7.14629,2.58575,-0.50000,5.02309,0,25.00000,42.85661,13.21244
-7.38141,2.67045,-0.50000,4.98289,0,25.25000,42.85737,13.21532
-7.61654,2.75514,-0.50000,4.94232,0,25.50000,42.85813,13.21819
-7.85167,2.83983,-0.50000,4.90217,0,25.75000,42.85890,13.22107
-8.08679,2.92450,-0.50000,4.86311,0,26.00000,42.85966,13.22395
-8.32192,3.00917,-0.50000,4.82571,0,26.25000,42.86042,13.22683
-8.55704,3.09383,-0.50000,4.79038,0,26.50000,42.86118,13.22971
-8.79217,3.17848,-0.50000,4.75746,0,26.75000,42.86194,13.23258
-9.02729,3.26312,-0.50000,4.72711,0,27.00000,42.86271,13.23546
-9.26242,3.34776,-0.50000,4.69932,0,27.25000,42.86347,13.23834
-9.49754,3.43239,-0.50000,4.67377,0,27.50000,42.86423,13.24122
-9.73267,3.51701,-0.50000,4.65016,0,27.75000,42.86499,13.24410
-9.96779,3.60162,-0.50000,4.62829,0,28.00000,42.86575,13.24698
-10.20292,3.68622,-0.50000,4.60802,0,28.25000,42.86652,13.24986
-10.43805,3.77082,-0.50000,4.58931,0,28.50000,42.86728,13.25274
